buying,maint,doors,persons,lug_boot,safety,target
1,4,4,4,9,4,1210
1,4,4,4,9,3,384
1,4,4,4,9,2,384
1,4,4,6,0,4,1210
1,4,4,6,0,3,1210
1,4,4,6,0,2,384
1,4,4,6,3,4,1210
1,4,4,6,3,3,384
1,4,4,6,3,2,384
1,4,4,6,9,4,1210
1,4,4,6,9,3,384
1,4,4,6,9,2,384
1,4,6,2,0,4,1210
1,4,6,2,0,3,1210
1,4,6,2,0,2,1210
1,4,6,2,3,4,1210
1,4,6,2,3,3,1210
1,4,6,2,3,2,1210
1,4,6,2,9,4,1210
1,4,6,2,9,3,1210
1,4,6,2,9,2,1210
1,4,6,4,0,4,1210
1,4,6,4,0,3,1210
1,4,6,4,0,2,384
1,4,6,4,3,4,1210
1,4,6,4,3,3,384
1,4,6,4,3,2,384
1,4,6,4,9,4,1210
1,4,6,4,9,3,384
1,4,6,4,9,2,384
1,4,6,6,0,4,1210
1,4,6,6,0,3,1210
1,4,6,6,0,2,384
1,4,6,6,3,4,1210
1,4,6,6,3,3,384
1,4,6,6,3,2,384
1,4,6,6,9,4,1210
1,4,6,6,9,3,384
1,4,6,6,9,2,384
2,1,2,2,0,4,1210
2,1,2,2,0,3,1210
2,1,2,2,0,2,1210
2,1,2,2,3,4,1210
2,1,2,2,3,3,1210
2,1,2,2,3,2,1210
2,1,2,2,9,4,1210
2,1,2,2,9,3,1210
2,1,2,2,9,2,1210
2,1,2,4,0,4,1210
2,1,2,4,0,3,1210
2,1,2,4,0,2,1210
2,1,2,4,3,4,1210
2,1,2,4,3,3,1210
2,1,2,4,3,2,1210
2,1,2,4,9,4,1210
2,1,2,4,9,3,1210
2,1,2,4,9,2,1210
2,1,2,6,0,4,1210
2,1,2,6,0,3,1210
2,1,2,6,0,2,1210
2,1,2,6,3,4,1210
2,1,2,6,3,3,1210
2,1,2,6,3,2,1210
2,1,2,6,9,4,1210
2,1,2,6,9,3,1210
2,1,2,6,9,2,1210
2,1,3,2,0,4,1210
2,1,3,2,0,3,1210
2,1,3,2,0,2,1210
2,1,3,2,3,4,1210
2,1,3,2,3,3,1210
2,1,3,2,3,2,1210
2,1,3,2,9,4,1210
2,1,3,2,9,3,1210
2,1,3,2,9,2,1210
2,1,3,4,0,4,1210
2,1,3,4,0,3,1210
2,1,3,4,0,2,1210
2,1,3,4,3,4,1210
2,1,3,4,3,3,1210
2,1,3,4,3,2,1210
2,1,3,4,9,4,1210
2,1,3,4,9,3,1210
2,1,3,4,9,2,1210
2,1,3,6,0,4,1210
2,1,3,6,0,3,1210
2,1,3,6,0,2,1210
2,1,3,6,3,4,1210
2,1,3,6,3,3,1210
2,1,3,6,3,2,1210
2,1,3,6,9,4,1210
2,1,3,6,9,3,1210
2,1,3,6,9,2,1210
2,1,4,2,0,4,1210
2,1,4,2,0,3,1210
2,1,4,2,0,2,1210
2,1,4,2,3,4,1210
2,1,4,2,3,3,1210
2,1,4,2,3,2,1210
2,1,4,2,9,4,1210
2,1,4,2,9,3,1210
2,1,4,2,9,2,1210
2,1,4,4,0,4,1210
2,1,4,4,0,3,1210
2,1,4,4,0,2,1210
2,1,4,4,3,4,1210
2,1,4,4,3,3,1210
2,1,4,4,3,2,1210
2,1,4,4,9,4,1210
2,1,4,4,9,3,1210
2,1,4,4,9,2,1210
2,1,4,6,0,4,1210
2,1,4,6,0,3,1210
2,1,4,6,0,2,1210
2,1,4,6,3,4,1210
2,1,4,6,3,3,1210
2,1,4,6,3,2,1210
2,1,4,6,9,4,1210
2,1,4,6,9,3,1210
2,1,4,6,9,2,1210
2,1,6,2,0,4,1210
2,1,6,2,0,3,1210
2,1,6,2,0,2,1210
2,1,6,2,3,4,1210
2,1,6,2,3,3,1210
2,1,6,2,3,2,1210
2,1,6,2,9,4,1210
2,1,6,2,9,3,1210
2,1,6,2,9,2,1210
2,1,6,4,0,4,1210
2,1,6,4,0,3,1210
2,1,6,4,0,2,1210
2,1,6,4,3,4,1210
2,1,6,4,3,3,1210
2,1,6,4,3,2,1210
2,1,6,4,9,4,1210
2,1,6,4,9,3,1210
2,1,6,4,9,2,1210
2,1,6,6,0,4,1210
2,1,6,6,0,3,1210
2,1,6,6,0,2,1210
2,1,6,6,3,4,1210
2,1,6,6,3,3,1210
2,1,6,6,3,2,1210
2,1,6,6,9,4,1210
2,1,6,6,9,3,1210
2,1,6,6,9,2,1210
2,2,2,2,0,4,1210
2,2,2,2,0,3,1210
2,2,2,2,0,2,1210
2,2,2,2,3,4,1210
2,2,2,2,3,3,1210
2,2,2,2,3,2,1210
2,2,2,2,9,4,1210
2,2,2,2,9,3,1210
2,2,2,2,9,2,1210
2,2,2,4,0,4,1210
2,2,2,4,0,3,1210
2,2,2,4,0,2,384
2,2,2,4,3,4,1210
2,2,2,4,3,3,1210
2,2,2,4,3,2,384
2,2,2,4,9,4,1210
2,2,2,4,9,3,384
2,2,2,4,9,2,384
2,2,2,6,0,4,1210
2,2,2,6,0,3,1210
2,2,2,6,0,2,1210
2,2,2,6,3,4,1210
2,2,2,6,3,3,1210
2,2,2,6,3,2,384
2,2,2,6,9,4,1210
2,2,2,6,9,3,384
2,2,2,6,9,2,384
2,2,3,2,0,4,1210
2,2,3,2,0,3,1210
2,2,3,2,0,2,1210
2,2,3,2,3,4,1210
2,2,3,2,3,3,1210
2,2,3,2,3,2,1210
2,2,3,2,9,4,1210
2,2,3,2,9,3,1210
2,2,3,2,9,2,1210
2,2,3,4,0,4,1210
2,2,3,4,0,3,1210
2,2,3,4,0,2,384
2,2,3,4,3,4,1210
2,2,3,4,3,3,1210
2,2,3,4,3,2,384
2,2,3,4,9,4,1210
2,2,3,4,9,3,384
2,2,3,4,9,2,384
2,2,3,6,0,4,1210
2,2,3,6,0,3,1210
2,2,3,6,0,2,384
2,2,3,6,3,4,1210
2,2,3,6,3,3,384
2,2,3,6,3,2,384
2,2,3,6,9,4,1210
2,2,3,6,9,3,384
2,2,3,6,9,2,384
2,2,4,2,0,4,1210
2,2,4,2,0,3,1210
2,2,4,2,0,2,1210
2,2,4,2,3,4,1210
2,2,4,2,3,3,1210
2,2,4,2,3,2,1210
2,2,4,2,9,4,1210
2,2,4,2,9,3,1210
2,2,4,2,9,2,1210
2,2,4,4,0,4,1210
2,2,4,4,0,3,1210
2,2,4,4,0,2,384
2,2,4,4,3,4,1210
2,2,4,4,3,3,384
2,2,4,4,3,2,384
2,2,4,4,9,4,1210
2,2,4,4,9,3,384
2,2,4,4,9,2,384
2,2,4,6,0,4,1210
2,2,4,6,0,3,1210
2,2,4,6,0,2,384
2,2,4,6,3,4,1210
2,2,4,6,3,3,384
2,2,4,6,3,2,384
2,2,4,6,9,4,1210
2,2,4,6,9,3,384
2,2,4,6,9,2,384
2,2,6,2,0,4,1210
2,2,6,2,0,3,1210
2,2,6,2,0,2,1210
2,2,6,2,3,4,1210
2,2,6,2,3,3,1210
2,2,6,2,3,2,1210
2,2,6,2,9,4,1210
2,2,6,2,9,3,1210
2,2,6,2,9,2,1210
2,2,6,4,0,4,1210
2,2,6,4,0,3,1210
2,2,6,4,0,2,384
2,2,6,4,3,4,1210
2,2,6,4,3,3,384
2,2,6,4,3,2,384
2,2,6,4,9,4,1210
2,2,6,4,9,3,384
2,2,6,4,9,2,384
2,2,6,6,0,4,1210
2,2,6,6,0,3,1210
2,2,6,6,0,2,384
2,2,6,6,3,4,1210
2,2,6,6,3,3,384
2,2,6,6,3,2,384
2,2,6,6,9,4,1210
2,2,6,6,9,3,384
2,2,6,6,9,2,384
2,3,2,2,0,4,1210
2,3,2,2,0,3,1210
2,3,2,2,0,2,1210
2,3,2,2,3,4,1210
2,3,2,2,3,3,1210
2,3,2,2,3,2,1210
2,3,2,2,9,4,1210
2,3,2,2,9,3,1210
2,3,2,2,9,2,1210
2,3,2,4,0,4,1210
2,3,2,4,0,3,1210
2,3,2,4,0,2,384
2,3,2,4,3,4,1210
2,3,2,4,3,3,1210
2,3,2,4,3,2,384
2,3,2,4,9,4,1210
2,3,2,4,9,3,384
2,3,2,4,9,2,384
2,3,2,6,0,4,1210
2,3,2,6,0,3,1210
2,3,2,6,0,2,1210
2,3,2,6,3,4,1210
2,3,2,6,3,3,1210
2,3,2,6,3,2,384
2,3,2,6,9,4,1210
2,3,2,6,9,3,384
2,3,2,6,9,2,384
2,3,3,2,0,4,1210
2,3,3,2,0,3,1210
2,3,3,2,0,2,1210
2,3,3,2,3,4,1210
2,3,3,2,3,3,1210
2,3,3,2,3,2,1210
2,3,3,2,9,4,1210
2,3,3,2,9,3,1210
2,3,3,2,9,2,1210
2,3,3,4,0,4,1210
2,3,3,4,0,3,1210
2,3,3,4,0,2,384
2,3,3,4,3,4,1210
2,3,3,4,3,3,1210
2,3,3,4,3,2,384
2,3,3,4,9,4,1210
2,3,3,4,9,3,384
2,3,3,4,9,2,384
2,3,3,6,0,4,1210
2,3,3,6,0,3,1210
2,3,3,6,0,2,384
2,3,3,6,3,4,1210
2,3,3,6,3,3,384
2,3,3,6,3,2,384
2,3,3,6,9,4,1210
2,3,3,6,9,3,384
2,3,3,6,9,2,384
2,3,4,2,0,4,1210
2,3,4,2,0,3,1210
2,3,4,2,0,2,1210
2,3,4,2,3,4,1210
2,3,4,2,3,3,1210
2,3,4,2,3,2,1210
2,3,4,2,9,4,1210
2,3,4,2,9,3,1210
2,3,4,2,9,2,1210
2,3,4,4,0,4,1210
2,3,4,4,0,3,1210
2,3,4,4,0,2,384
2,3,4,4,3,4,1210
2,3,4,4,3,3,384
2,3,4,4,3,2,384
2,3,4,4,9,4,1210
2,3,4,4,9,3,384
2,3,4,4,9,2,384
2,3,4,6,0,4,1210
2,3,4,6,0,3,1210
2,3,4,6,0,2,384
2,3,4,6,3,4,1210
2,3,4,6,3,3,384
2,3,4,6,3,2,384
2,3,4,6,9,4,1210
2,3,4,6,9,3,384
2,3,4,6,9,2,384
2,3,6,2,0,4,1210
2,3,6,2,0,3,1210
2,3,6,2,0,2,1210
2,3,6,2,3,4,1210
2,3,6,2,3,3,1210
2,3,6,2,3,2,1210
2,3,6,2,9,4,1210
2,3,6,2,9,3,1210
2,3,6,2,9,2,1210
2,3,6,4,0,4,1210
2,3,6,4,0,3,1210
2,3,6,4,0,2,384
2,3,6,4,3,4,1210
2,3,6,4,3,3,384
2,3,6,4,3,2,384
2,3,6,4,9,4,1210
2,3,6,4,9,3,384
2,3,6,4,9,2,384
2,3,6,6,0,4,1210
2,3,6,6,0,3,1210
2,3,6,6,0,2,384
2,3,6,6,3,4,1210
2,3,6,6,3,3,384
2,3,6,6,3,2,384
2,3,6,6,9,4,1210
2,3,6,6,9,3,384
2,3,6,6,9,2,384
2,4,2,2,0,4,1210
2,4,2,2,0,3,1210
2,4,2,2,0,2,1210
2,4,2,2,3,4,1210
2,4,2,2,3,3,1210
2,4,2,2,3,2,1210
2,4,2,2,9,4,1210
2,4,2,2,9,3,1210
2,4,2,2,9,2,1210
2,4,2,4,0,4,1210
2,4,2,4,0,3,1210
2,4,2,4,0,2,384
2,4,2,4,3,4,1210
2,4,2,4,3,3,1210
2,4,2,4,3,2,384
2,4,2,4,9,4,1210
2,4,2,4,9,3,384
2,4,2,4,9,2,384
2,4,2,6,0,4,1210
2,4,2,6,0,3,1210
2,4,2,6,0,2,1210
2,4,2,6,3,4,1210
2,4,2,6,3,3,1210
2,4,2,6,3,2,384
2,4,2,6,9,4,1210
2,4,2,6,9,3,384
2,4,2,6,9,2,384
2,4,3,2,0,4,1210
2,4,3,2,0,3,1210
2,4,3,2,0,2,1210
2,4,3,2,3,4,1210
2,4,3,2,3,3,1210
2,4,3,2,3,2,1210
2,4,3,2,9,4,1210
2,4,3,2,9,3,1210
2,4,3,2,9,2,1210
2,4,3,4,0,4,1210
2,4,3,4,0,3,1210
2,4,3,4,0,2,384
2,4,3,4,3,4,1210
2,4,3,4,3,3,1210
2,4,3,4,3,2,384
2,4,3,4,9,4,1210
2,4,3,4,9,3,384
2,4,3,4,9,2,384
2,4,3,6,0,4,1210
2,4,3,6,0,3,1210
2,4,3,6,0,2,384
2,4,3,6,3,4,1210
2,4,3,6,3,3,384
2,4,3,6,3,2,384
2,4,3,6,9,4,1210
2,4,3,6,9,3,384
2,4,3,6,9,2,384
2,4,4,2,0,4,1210
2,4,4,2,0,3,1210
2,4,4,2,0,2,1210
2,4,4,2,3,4,1210
2,4,4,2,3,3,1210
2,4,4,2,3,2,1210
2,4,4,2,9,4,1210
2,4,4,2,9,3,1210
2,4,4,2,9,2,1210
2,4,4,4,0,4,1210
2,4,4,4,0,3,1210
2,4,4,4,0,2,384
2,4,4,4,3,4,1210
2,4,4,4,3,3,384
2,4,4,4,3,2,384
2,4,4,4,9,4,1210
2,4,4,4,9,3,384
2,4,4,4,9,2,384
2,4,4,6,0,4,1210
2,4,4,6,0,3,1210
2,4,4,6,0,2,384
2,4,4,6,3,4,1210
2,4,4,6,3,3,384
2,4,4,6,3,2,384
2,4,4,6,9,4,1210
2,4,4,6,9,3,384
2,4,4,6,9,2,384
2,4,6,2,0,4,1210
2,4,6,2,0,3,1210
2,4,6,2,0,2,1210
2,4,6,2,3,4,1210
2,4,6,2,3,3,1210
2,4,6,2,3,2,1210
2,4,6,2,9,4,1210
2,4,6,2,9,3,1210
2,4,6,2,9,2,1210
2,4,6,4,0,4,1210
2,4,6,4,0,3,1210
2,4,6,4,0,2,384
2,4,6,4,3,4,1210
2,4,6,4,3,3,384
2,4,6,4,3,2,384
2,4,6,4,9,4,1210
2,4,6,4,9,3,384
2,4,6,4,9,2,384
2,4,6,6,0,4,1210
2,4,6,6,0,3,1210
2,4,6,6,0,2,384
2,4,6,6,3,4,1210
2,4,6,6,3,3,384
2,4,6,6,3,2,384
2,4,6,6,9,4,1210
2,4,6,6,9,3,384
2,4,6,6,9,2,384
3,1,2,2,0,4,1210
3,1,2,2,0,3,1210
3,1,2,2,0,2,1210
3,1,2,2,3,4,1210
3,1,2,2,3,3,1210
3,1,2,2,3,2,1210
3,1,2,2,9,4,1210
3,1,2,2,9,3,1210
3,1,2,2,9,2,1210
3,1,2,4,0,4,1210
3,1,2,4,0,3,1210
3,1,2,4,0,2,384
3,1,2,4,3,4,1210
3,1,2,4,3,3,1210
3,1,2,4,3,2,384
3,1,2,4,9,4,1210
3,1,2,4,9,3,384
3,1,2,4,9,2,384
3,1,2,6,0,4,1210
3,1,2,6,0,3,1210
3,1,2,6,0,2,1210
3,1,2,6,3,4,1210
3,1,2,6,3,3,1210
3,1,2,6,3,2,384
3,1,2,6,9,4,1210
3,1,2,6,9,3,384
3,1,2,6,9,2,384
3,1,3,2,0,4,1210
3,1,3,2,0,3,1210
3,1,3,2,0,2,1210
3,1,3,2,3,4,1210
3,1,3,2,3,3,1210
3,1,3,2,3,2,1210
3,1,3,2,9,4,1210
3,1,3,2,9,3,1210
3,1,3,2,9,2,1210
3,1,3,4,0,4,1210
3,1,3,4,0,3,1210
3,1,3,4,0,2,384
3,1,3,4,3,4,1210
3,1,3,4,3,3,1210
3,1,3,4,3,2,384
3,1,3,4,9,4,1210
3,1,3,4,9,3,384
3,1,3,4,9,2,384
3,1,3,6,0,4,1210
3,1,3,6,0,3,1210
3,1,3,6,0,2,384
3,1,3,6,3,4,1210
3,1,3,6,3,3,384
3,1,3,6,3,2,384
3,1,3,6,9,4,1210
3,1,3,6,9,3,384
3,1,3,6,9,2,384
3,1,4,2,0,4,1210
3,1,4,2,0,3,1210
3,1,4,2,0,2,1210
3,1,4,2,3,4,1210
3,1,4,2,3,3,1210
3,1,4,2,3,2,1210
3,1,4,2,9,4,1210
3,1,4,2,9,3,1210
3,1,4,2,9,2,1210
3,1,4,4,0,4,1210
3,1,4,4,0,3,1210
3,1,4,4,0,2,384
3,1,4,4,3,4,1210
3,1,4,4,3,3,384
3,1,4,4,3,2,384
3,1,4,4,9,4,1210
3,1,4,4,9,3,384
3,1,4,4,9,2,384
3,1,4,6,0,4,1210
3,1,4,6,0,3,1210
3,1,4,6,0,2,384
3,1,4,6,3,4,1210
3,1,4,6,3,3,384
3,1,4,6,3,2,384
3,1,4,6,9,4,1210
